,creation_date,Status,SRN,Type of SR,Street Address,Zip,X-Coordinate,Y-Coordinate,Ward,Police_District,Community_Area,Latitude,Longitude,number_of_black_carts_delivered
90,2018-12-17T00:00:00.000,Open,18-03381515,Garbage Cart Black Maintenance/Replacement,7925 S ST LAWRENCE AVE,60619,1181608.332,1852589.501,6,6,44,41.75043058,-87.60991213,0
91,2018-12-17T00:00:00.000,Open,18-03379980,Garbage Cart Black Maintenance/Replacement,2137 W 24TH ST,60608,1162497.529,1888064.043,25,10,31,41.84837895,-87.67973115,0
92,2018-12-17T00:00:00.000,Open,18-03382194,Garbage Cart Black Maintenance/Replacement,2859 S PULASKI RD,60623,1150176.044,1884680.261,22,10,30,41.8388169,-87.72425551,0
93,2018-12-17T00:00:00.000,Open,18-03379912,Garbage Cart Black Maintenance/Replacement,79 E 101ST ST,60628,1178841.108,1838031.394,9,5,49,41.71074423,-87.62058384,0
94,2018-12-17T00:00:00.000,Open,18-03379816,Garbage Cart Black Maintenance/Replacement,5931 S KEELER AVE,60629,1149384.644,1864941.687,23,8,65,41.78495166,-87.7276777,0
95,2018-12-17T00:00:00.000,Open - Dup,18-03384812,Garbage Cart Black Maintenance/Replacement,752 N LOCKWOOD AVE,60644,1140888.047,1904486.654,37,15,25,41.89453086,-87.75818503,0
96,2018-12-17T00:00:00.000,Open - Dup,18-03386264,Garbage Cart Black Maintenance/Replacement,2427 N MCVICKER AVE,60639,1135661.76,1915498.328,30,25,19,41.92463966,-87.77681342,0
97,2018-12-17T00:00:00.000,Open,18-03382802,Garbage Cart Black Maintenance/Replacement,2963 S LYMAN ST,60608,1169211.196,1885160.003,11,9,60,41.84032026,-87.65443454,0
98,2018-12-17T00:00:00.000,Open,18-03384107,Garbage Cart Black Maintenance/Replacement,5417 N GLENWOOD AVE,60640,1166004.17,1936162.58,48,20,77,41.98041595,-87.66471886,0
99,2018-12-17T00:00:00.000,Open,18-03380357,Garbage Cart Black Maintenance/Replacement,3548 W 72ND PL,60629,1154006.52,1856304.666,17,8,66,41.76162606,-87.71184989,0
100,2018-12-17T00:00:00.000,Open,18-03381837,Garbage Cart Black Maintenance/Replacement,8002 S PRINCETON AVE,60620,1175675.598,1851894.12,17,6,44,41.74885144,-87.63197252,0
101,2018-12-17T00:00:00.000,Open,18-03381363,Garbage Cart Black Maintenance/Replacement,11239 S CHAMPLAIN AVE,60628,1182591.47,1830514.428,9,5,50,41.68997335,-87.60700156,0
102,2018-12-17T00:00:00.000,Open,18-03383545,Garbage Cart Black Maintenance/Replacement,4714 W SUPERIOR ST,60644,1144753.816,1904547.119,28,11,25,41.89419267,-87.74414416,0
103,2018-12-17T00:00:00.000,Open,18-03386043,Garbage Cart Black Maintenance/Replacement,4836 W BARRY AVE,60641,1143588.021,1920173.68,31,25,19,41.93709423,-87.74831023,0
104,2018-12-17T00:00:00.000,Open,18-03383985,Garbage Cart Black Maintenance/Replacement,10031 S CALUMET AVE,60628,1180351.66,1838528.48,9,5,49,41.71181848,-87.61495456,0
105,2018-12-17T00:00:00.000,Open,18-03380838,Garbage Cart Black Maintenance/Replacement,11845 S OAKLEY AVE,60643,1163014.651,1826064.434,19,22,75,41.67795502,-87.67878414,0
106,2018-12-17T00:00:00.000,Open,18-03382713,Garbage Cart Black Maintenance/Replacement,1516 W 73RD PL,60636,1167318.688,1855987.545,17,7,67,41.76048305,-87.66279662,0
